=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 17:39:54 =~=~=~=~=~=~=~=~=~=~=~=


-- TURN Dynamic Systems --
  TM4313 Miniature GPSDO

HV: 1.0.1
SV: 1.0.8
SD: May 14 2023, 23:45:34
SN: 25142891
SC: 100.000000MHz
AF: 19/73

Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 1
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 2
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 3
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 4
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 5
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 6
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 7
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 8
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 9
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 10
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 11
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 12
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 13
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 14
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 15
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 16
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 17
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 18
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 19
Ph =         0, D =  548850, GL = 1, LOS = 0, ST =         0, AF =  19, RT = 20
