
# Table 3 of CTA-861-G: Video Formats - Video ID Code and Aspect Ratios

1;		640x480p;		59.94Hz/60Hz;		4:3;	1:1;
2;		720x480p;		59.94Hz/60Hz;		4:3;	8:9;
3;		720x480p;		59.94Hz/60Hz;		16:9;	32:27;
4;		1280x720p;		59.94Hz/60Hz;		16:9;	1:1;
5;		1920x1080i;		59.94Hz/60Hz;		16:9;	1:1;
6;		720(1440)x480i;	59.94Hz/60Hz;		4:3;	8:9;
7;		720(1440)x480i;	59.94Hz/60Hz;		16:9;	32:27;
8;		720(1440)x240p;	59.94Hz/60Hz;		4:3;	4:9;
9;		720(1440)x240p;	59.94Hz/60Hz;		16:9;	16:27;
10;		2880x480i;		59.94Hz/60Hz;		4:3;	2:9-20:9;
11;		2880x480i;		59.94Hz/60Hz;		16:9;	8:27-80:27;
12;		2880x240p;		59.94Hz/60Hz;		4:3;	1:9-10:9;
13;		2880x240p;		59.94Hz/60Hz;		16:9;	4:27-40:27;
14;		1440x480p;		59.94Hz/60Hz;		4:3;	4:9 or 8:9;
15;		1440x480p;		59.94Hz/60Hz;		16:9;	16:27 or 32:27;
16;		1920x1080p;		59.94Hz/60Hz;		16:9;	1:1;
17;		720x576p;		50Hz;			4:3;	16:15;
18;		720x576p;		50Hz;			16:9;	64:45;
19;		1280x720p;		50Hz;			16:9;	1:1;
20;		1920x1080i;		50Hz;			16:9;	1:1;
21;		720(1440)x576i;	50Hz;				4:3;	16:15;
22;		720(1440)x576i;	50Hz;				16:9;	64:45;
23;		720(1440)x288p;	50Hz;				4:3;	8:15;
24;		720(1440)x288p;	50Hz;				16:9;	32:45;
25;		2880x576i;		50Hz;			4:3;	2:15-20:15;
26;		2880x576i;		50Hz;			16:9;	16:45-160:45;
27;		2880x288p;		50Hz;			4:3;	1:15-10:15;
28;		2880x288p;		50Hz;			16:9;	8:45-80:45;
29;		1440x576p;		50Hz;			4:3;	8:15 or 16:15;
30;		1440x576p;		50Hz;			16:9;	32:45 or 64:45;
31;		1920x1080p;		50Hz;			16:9;	1:1;
32;		1920x1080p;		23.98Hz/24Hz;		16:9;	1:1;
33;		1920x1080p;		25Hz;			16:9;	1:1;
34;		1920x1080p;		29.97Hz/30Hz;		16:9;	1:1;
35;		2880x480p;		59.94Hz/60Hz;		4:3;	2:9, 4:9, or 8:9;
36;		2880x480p;		59.94Hz/60Hz;		16:9;	8:27, 16:27, or 32:27;
37;		2880x576p;		50Hz;			4:3;	4:15,8:15, or 16:15;
38;		2880x576p;		50Hz;			16:9;	16:45, 32:45, or 64:45;
39;		1920x1080i (1250 total);	50Hz;	16:9;	1:1;
40;		1920x1080i;		100Hz;			16:9;	1:1;
41;		1280x720p;		100Hz;			16:9;	1:1;
42;		720x576p;		100Hz;			4:3;	16:15;
43;		720x576p;		100Hz;			16:9;	64:45;
44;		720(1440)x576i;	100Hz;				4:3;	16:15;
45;		720(1440)x576i;	100Hz;				16:9;	64:45;
46;		1920x1080i;		119.88/120Hz;		16:9;	1:1;
47;		1280x720p;		119.88/120Hz;		16:9;	1:1;
48;		720x480p;		119.88/120Hz;		4:3;	8:9;
49;		720x480p;		119.88/120Hz;		16:9;	32:27;
50;		720(1440)x480i;	119.88/120Hz;		4:3;	8:9;
51;		720(1440)x480i;	119.88/120Hz;		16:9;	32:27;
52;		720x576p;		200Hz;			4:3;	16:15;
53;		720x576p;		200Hz;			16:9;	64:45;
54;		720(1440)x576i;	200Hz;				4:3;	16:15;
55;		720(1440)x576i;	200Hz;				16:9;	64:45;
56;		720x480p;		239.76/240Hz;		4:3;	8:9;
57;		720x480p;		239.76/240Hz;		16:9;	32:27;
58;		720(1440)x480i;	239.76/240Hz;		4:3;	8:9;
59;		720(1440)x480i;	239.76/240Hz;		16:9;	32:27;
60;		1280x720p;		23.98Hz/24Hz;		16:9;	1:1;
61;		1280x720p;		25Hz;				16:9;	1:1;	
62;		1280x720p;		29.97Hz/30Hz;		16:9;	1:1;	
63;		1920x1080p;		119.88/120Hz;		16:9;	1:1;	
64;		1920x1080p;		100Hz;				16:9;	1:1;	
65;		1280x720p;		23.98Hz/24Hz;		64:27;	4:3;	
66;		1280x720p;		25Hz;				64:27;	4:3;	
67;		1280x720p;		29.97Hz/30Hz;		64:27;	4:3;	
68;		1280x720p;		50Hz;				64:27;	4:3;	
69;		1280x720p;		59.94Hz/60Hz;		64:27;	4:3;	
70;		1280x720p;		100Hz;				64:27;	4:3;		
71;		1280x720p;		119.88/120Hz;		64:27;	4:3;	
72;		1920x1080p;		23.98Hz/24Hz;		64:27;	4:3;
73;		1920x1080p;		25Hz;				64:27;	4:3;	
74;		1920x1080p;		29.97Hz/30Hz;		64:27;	4:3;	
75;		1920x1080p;		50Hz;				64:27;	4:3;	
76;		1920x1080p;		59.94Hz/60Hz;		64:27;	4:3;	
77;		1920x1080p;		100Hz;				64:27;	4:3;
78;		1920x1080p;		119.88/120Hz;		64:27;	4:3;
