
# Table 2 of CTA-861-G: Video Format Timings - Detailed Sync Information

60,65;		2;	1760;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1,2, 25
61,66;		2;	2420;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1,2
62,67;		2;	1760;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1,2
108,109;	2;	960;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1, 2, 25
32,72;		2;	638;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
33,73;		2;	528;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
34,74;		2;	88;		44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
111,112;	2;	638;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
79;			2;	1360;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	26
80;			2;	1228;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	26
81;			2;	700;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	26
110;		2;	810;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	26
86;			2;	998;	44;		148;	P;	4;	5;	11;		P;	1;	SMPTE 274M [2];		27
87;			2;	448;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		27
88;			2;	768;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		27
113;		2;	998;	44;		148;	P;	4;	5;	11;		P;	1;	SMPTE 274M [2];		27
93,103;		2;	1276;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
94,104;		2;	1056;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
95,105;		2;	176;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
114,116;	2;	1276;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
98;			2;	1020;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
99;			2;	968;	88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
100;		2;	88;		88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
115;		2;	1020;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
121;		2;	1996;	88;		296;	P;	8;	10;	22;		P;	1;	SMPTE 274M [2];		31
122;		2;	1696;	88;		296;	P;	8;	10;	22;		P;	1;	SMPTE 274M [2];		31
123;		2;	664;	88;		128;	P;	8;	10;	22;		P;	1;	SMPTE 274M [2];		31
124;		2;	746;	88;		296;	P;	8;	10;	297;	P;	1;	SMPTE 274M [2];		31
194,202;	2;	2552;	176;	592;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];
195,203;	2;	2352;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];
196,204;	2;	552;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];
197,205;	2;	2552;	176;	592;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];
210;		2;	1492;	176;	592;	P;	16;	20;	594;	P;	1;	SMPTE 274M [2];		32
211;		2;	2492;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];		32
212;		2;	288;	176;	296;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];		32
213;		2;	1492;	176;	592;	P;	16;	20;	594;	P;	1;	SMPTE 274M [2];		32

17,18;		1;	12;		64;		68;		N;	5;	5;	39;		N;	1;	ITU-R BT.1358 [77];
19,68;		2;	440;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1,2
20;			4;	528;	44;		148;	P;	2;	5;	15;		P;	1;	SMPTE 274M [2];		1,2
21,22;		3;	24;		126;	138;	N;	2;	3;	19;		N;	1;	ITU-R BT.656 [75];	6, 15
23,24;		1;	24;		126;	138;	N;	2;	3;	19;		N;	1;	ITU-R BT.1358 [77];	7, 14, 15, 19
23,24;		1;	24;		126;	138;	N;	3;	3;	19;		N;	1;	ITU-R BT.1358 [77];	7, 14, 15, 19
23,24;		1;	24;		126;	138;	N;	4;	3;	19;		N;	1;	ITU-R BT.1358 [77];	7, 14, 15, 19
25,26;		3;	48;		252;	276;	N;	2;	3;	19;		N;	1;	ITU-R BT.656 [75];	178, 13, 14
27,28;		1;	48;		252;	276;	N;	2;	3;	19;		N;	1;	ITU-R BT.656  [75];	177, 8, 12, 13,19
27,28;		1;	48;		252;	276;	N;	3;	3;	19;		N;	1;	ITU-R BT.656  [75];	177, 8, 12, 13,19
27,28;		1;	48;		252;	276;	N;	4;	3;	19;		N;	1;	ITU-R BT.656  [75];	177, 8, 12, 13,19
29,30;		1;	24;		128;	136;	N;	5;	5;	39;		N;	1;	ITU-R BT.1358 [77];	9, 10, 14
31,75;		2;	528;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
37,38;		1;	48;		256;	272;	N;	5;	5;	39;		N;	1;	ITU-R BT.1358 [77];	9, 11
39;			5;	32;		168;	184;	P;	23;	5;	57;		N;	1;	AS 4933.1-2005 [88];	5
82;			2;	260;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1, 2, 26
89;			2;	548;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14, 27
96,106;		2;	1056;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
101;		2;	968;	88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
125;		2;	1096;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		31
198,206;	2;	2352;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];
214;		2;	2492;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];		32

1;			1;	16;		96;		48;		N;	10;	2;	33;		N;	1;	VESA DMT [86];		3, 4
2,3;		1;	16;		62;		60;		N;	9;	6;	30;		N;	7;	CTA-770.2 [30];		2
4,69;		2;	110;	40;		220;	P;	5;	5;	20;		P;	1;	CTA-770.3 [31];		1,2
5;			4;	88;		44;		148;	P;	2;	5;	15;		P;	1;	CTA-770.3 [31];		1,2
6,7;		3;	38;		124;	114;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		2, 15
8,9;		1;	38;		124;	114;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		177, 14, 15, 19
8,9;		1;	38;		124;	114;	N;	5;	3;	15;		N;	4;	CTA-770.2 [30];		177, 14, 15, 19
10,11;		3;	76;		248;	228;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		178, 13
12,13;		1;	76;		248;	228;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		177, 8, 13, 19
12,13;		1;	76;		248;	228;	N;	5;	3;	15;		N;	4;	CTA-770.2 [30];		177, 8, 13, 19
14,15;		1;	32;		124;	120;	N;	9;	6;	30;		N;	7;	CTA-770.2 [30];		9, 10, 13, 14
16,76;		2;	88;		44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];		14
35,36;		1;	64;		248;	240;	N;	9;	6;	30;		N;	7;	CTA-770.2 [30];		9, 11
83;			2;	260;	40;		220;	P;	5;	5;	20;		P;	1;	CTA-770.3[31];		1, 2, 26
90;			2;	248;	44;		148;	P;	4;	5;	11;		P;	1;	SMPTE 274M [2];		14, 27
97,107;		2;	176;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 29
102;		2;	88;		88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		1, 2, 30
126;		2;	164;	88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		31
199,207;	2;	552;	176;	592;	P;	16;	20;	44;		P;	1;	SMPTE 274M [2];
215;		2;	288;	176;	296;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];		32

40;			4;	528;	44;		148;	P;	2;	5;	15;		P;	1;	SMPTE 274M [2];
41,70;		2;	440;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];
42,43;		1;	12;		64;		68;		N;	5;	5;	39;		N;	1;	ITU-R BT.1358 [77];
44,45;		3;	24;		126;	138;	N;	2;	3;	19;		N;	1;	ITU-R BT.656[75];	16
